id,duration,location_address,title,description,year
1,120.0,1 Fashion St New York NY 10001,The Elite Runway,Witness the most exclusive fashion competition in the heart of New York. This event showcases the finest designers from around the world.,2024
2,90.5,2 Trendy Rd Los Angeles CA 90001,Summer Style Showdown,Join us for an exciting competition where summer trends take the spotlight. Experience creativity and innovation in every design.,2023
3,75.25,3 Chic Ave Paris France,Paris Couture Competition,This prestigious event highlights the best in haute couture fashion. Designers will battle it out for the top prize on this iconic stage.,2022
4,110.75,4 Vogue St Milan Italy,Milan Fashion Championship,Witness emerging talents as they present their unique collections. The competition promises a night of elegance and creativity.,2021
5,85.0,5 Stylish Blvd London UK,London Fashion Face-Off,The best of British fashion is here! Watch designers compete for recognition and a chance to showcase their work globally.,2020
6,95.6,6 Glamour St Tokyo Japan,Tokyo Trendsetters,Experience cutting-edge fashion from the most innovative designers. This competition is set to redefine style standards.,2019
7,100.5,7 Elegant Way Barcelona Spain,Barcelona Fashion Fiesta,Celebrate vibrant designs and cultural expressions in this lively competition. Join us for a night of glamour and excitement.,2018
8,65.0,8 Modern Ln Sydney Australia,Sydney Fashion Showcase,Catch the latest trends from Australian designers at this unique event. Its a celebration of style and creativity.,2017
9,80.25,9 Unique Rd Toronto Canada,Toronto Fashion Challenge,Discover emerging talents in the Canadian fashion scene. This competition promises to deliver fresh ideas and bold designs.,2016
10,70.1,10 Artistic Blvd Berlin Germany,Berlin Fashion Innovation,Witness the future of fashion as designers present their avant-garde collections. Expect the unexpected!,2015
11,130.0,11 Royal St Paris France,Paris Fashion Festival,Join us for a spectacular display of talent and creativity. This festival will showcase emerging designers and their innovative collections.,2014
12,95.5,12 Heritage Ln Milan Italy,Milan Vintage Showdown,Explore the best of vintage fashion in this thrilling competition. Designers will bring historical pieces to life with modern twists.,2013
13,85.75,13 Couture Blvd Tokyo Japan,Tokyo Street Style Contest,Celebrate the vibrant street fashion of Tokyo. This competition will highlight bold and creative designs from local talents.,2012
14,100.0,14 Fashion Ave London UK,British Fashion Awards,Join us for a glamorous evening celebrating the best in British fashion. Witness the creativity of renowned and emerging designers.,2011
15,90.0,15 Chic St Sydney Australia,Sydney Eco Fashion Show,Experience the fusion of fashion and sustainability. This competition promotes eco-friendly designs and practices in the fashion industry.,2010
16,105.5,16 Trendy Rd New York NY 10001,New York Fashion Week Competition,This iconic event brings together top designers to showcase their latest collections. Dont miss this fashion extravaganza!,2009
17,80.0,17 Stylish Ave Barcelona Spain,Barcelona Fashion Evolution,Explore the evolution of fashion through this exciting competition. Watch as designers reinterpret classic styles with a modern flair.,2008
18,95.75,18 Trendy St Berlin Germany,Berlin Fashion Night,Join us for a night celebrating the vibrant fashion scene in Berlin. Emerging designers will showcase their innovative collections.,2007
19,110.5,19 Elegant Rd Toronto Canada,Toronto Fashion Spectrum,Witness a colorful array of designs from Canadian talents. This competition celebrates diversity and creativity in fashion.,2006
20,70.0,20 Fashion Way Milan Italy,Milan Style Showcase,Experience the elegance of Milanese fashion. This competition features the latest trends from up-and-coming designers.,2005
21,120.0,21 Couture St Paris France,Paris Fashion Gala,Join us for an exclusive gala featuring the finest designers. This event showcases luxury and creativity in the fashion world.,2004
22,85.0,22 Chic Ave Tokyo Japan,Tokyo Urban Fashion Contest,Celebrate urban fashion in the heart of Tokyo. Designers will present their collections inspired by city life.,2003
23,90.5,23 Trendy Rd Sydney Australia,Sydney Fashion Evolution,Explore the evolution of fashion in this exciting competition. Witness creative designs that challenge traditional norms.,2002
24,100.0,24 Fashion Blvd London UK,London Fashion Innovation,Witness groundbreaking designs that push the limits of creativity. This competition showcases the future of fashion.,2001
25,95.25,25 Glamour St Barcelona Spain,Barcelona Couture Challenge,Join us for a night of couture and creativity in Barcelona. This competition features stunning designs and innovative styles.,2000
26,80.75,26 Stylish Blvd Toronto Canada,Toronto Eco Fashion Challenge,Discover sustainable fashion trends from Canadian designers. This competition promotes eco-conscious practices in the industry.,1999
27,75.0,27 Artistic Ln Paris France,Paris Street Style Show,Experience the essence of Parisian street fashion. This competition celebrates individual style and creativity.,1998
28,95.6,28 Fashion St New York NY 10001,New York Design Challenge,Watch as emerging designers showcase their unique creations. This competition aims to highlight fresh talent in the fashion industry.,1997
29,100.5,29 Trendy Rd Berlin Germany,Berlin Fashion Lab,Explore innovative designs that challenge the norms of fashion. This competition showcases the creativity of up-and-coming designers.,1996
30,85.0,30 Chic Blvd Milan Italy,Milan Fashion Clash,Witness a thrilling competition where styles collide. Designers will present their boldest creations for a chance to win recognition.,1995
31,70.25,31 Unique St Tokyo Japan,Tokyo Futuristic Fashion,Join us for a glimpse into the future of fashion. This competition features avant-garde designs that push creative boundaries.,1994
32,90.0,32 Elegant Rd Barcelona Spain,Barcelona Fashion Celebration,Celebrate the rich tapestry of fashion in Barcelona. This competition showcases diverse styles from talented designers.,1993
33,75.5,33 Glamour Ave London UK,London Fashion Spotlight,Experience the best of Londons fashion scene. This competition highlights innovative designs and emerging talents.,1992
34,105.0,34 Stylish Ln Sydney Australia,Sydney Fashion Revolution,Explore the revolution of fashion in this exciting competition. Designers will present fresh ideas and creative concepts.,1991
35,80.75,35 Artistic Blvd Toronto Canada,Toronto Fashion Explosion,Witness a burst of creativity and style in this vibrant competition. Designers will showcase their most daring collections.,1990
36,90.25,36 Fashion Way New York NY 10001,New York Fashion Clash,Experience the clash of styles in this dynamic competition. Designers will compete to showcase their unique perspectives.,1989
37,100.75,37 Couture Ave Paris France,Paris Haute Couture Show,Join us for a luxurious evening celebrating haute couture. This competition features the most exquisite designs.,1988
38,95.0,38 Trendy Rd Berlin Germany,Berlin Fashion Competition,Explore the vibrant fashion scene of Berlin. This competition showcases both emerging and established talents.,1987
39,70.0,39 Chic St Milan Italy,Milan Fashion Gala,Experience an evening of elegance and creativity. Designers will present their stunning collections for the audience.,1986
40,85.25,40 Stylish Blvd Tokyo Japan,Tokyo Fashion Vision,Witness visionary designs that define Tokyos fashion scene. This competition celebrates creativity and innovation.,1985
41,120.0,41 Glamour Ln London UK,London Fashion Extravaganza,Join us for a spectacular celebration of fashion. This competition showcases the most talented designers from around the world.,1984
42,95.5,42 Trendy Rd Barcelona Spain,Barcelona Fashion Future,Explore the future of fashion in this exciting competition. Designers will present their most innovative concepts.,1983
43,100.0,43 Unique St Sydney Australia,Sydney Fashion Icons,Experience the works of fashion icons in this prestigious competition. Designers will showcase their signature styles.,1982
44,85.0,44 Artistic Blvd New York NY 10001,New York Fashion Spotlight,Witness the creativity of New Yorks fashion designers. This competition highlights innovative collections that challenge norms.,1981
45,70.1,45 Couture Ave Paris France,Paris Fashion Remix,Experience a creative remix of classic styles. This competition encourages designers to reinvent iconic pieces.,1980
46,90.25,46 Chic St Berlin Germany,Berlin Urban Fashion,Celebrate urban culture through innovative fashion designs. This competition showcases the best in streetwear and urban styles.,1979
47,75.5,47 Trendy Blvd London UK,London Fashion Collective,Join us for a collaborative showcase of talent. This competition features groups of designers presenting their unique visions.,1978
48,100.75,48 Stylish Ln Tokyo Japan,Tokyo Fashion Summit,Explore the intersection of fashion and technology. This competition highlights innovative designs that incorporate tech.,1977
49,90.0,49 Elegant Rd Barcelona Spain,Barcelona Fashion Odyssey,Experience a journey through fashion in this exciting competition. Designers will present collections inspired by their travels.,1976
50,110.0,50 Unique Rd Sydney Australia,Sydney Fashion Showcase,Celebrate the best of Australian fashion in this dynamic competition. Watch as designers present their latest collections.,1975
